"","experimentPhase","trialnum","subject","task","noisePercent","targetLeftRightIfOne","answerPos0","answer0","response0","correct0","responsePosRelative0","answerPos1","answer1","response1","correct1","responsePosRelative1","timingBlips"
"250","main",249,"yxuuh cnbc","T1T2",1,"right",11,"S","X",0,3,11,"E","S",0,-6,0
"251","main",250,"yxuuh cnbc","T1",1,"left",9,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"252","main",251,"yxuuh cnbc","T1",1,"left",7,"Z","X",0,5,NA,"NaN","NaN",NA,NA,0
"253","main",252,"yxuuh cnbc","T1",1,"left",15,"Z","X",0,-2,NA,"NaN","NaN",NA,NA,0
"254","main",253,"yxuuh cnbc","T1",1,"right",9,"S","S",1,0,NA,"NaN","NaN",NA,NA,0
"255","main",254,"yxuuh cnbc","T1T2",1,"left",11,"C","F",0,-4,11,"F","C",0,14,0
"256","main",255,"yxuuh cnbc","T1",1,"left",9,"Y","C",0,-7,NA,"NaN","NaN",NA,NA,0
"257","main",256,"yxuuh cnbc","T1T2",1,"right",17,"P","P",1,0,17,"B","X",0,2,0
"258","main",257,"yxuuh cnbc","T1",1,"left",11,"F","M",0,1,NA,"NaN","NaN",NA,NA,0
"259","main",258,"yxuuh cnbc","T1",1,"left",13,"V","M",0,-1,NA,"NaN","NaN",NA,NA,0
"260","main",259,"yxuuh cnbc","T1T2",1,"left",7,"R","M",0,-6,7,"W","R",0,-6,0
"261","main",260,"yxuuh cnbc","T1T2",1,"right",11,"E","F",0,-2,11,"M","M",1,0,0
"262","main",261,"yxuuh cnbc","T1",1,"left",15,"O","D",0,-2,NA,"NaN","NaN",NA,NA,0
"263","main",262,"yxuuh cnbc","T1T2",1,"left",15,"C","C",1,0,15,"F","X",0,1,0
"264","main",263,"yxuuh cnbc","T1T2",1,"left",7,"G","C",0,10,7,"X","X",1,0,0
"265","main",264,"yxuuh cnbc","T1T2",1,"right",13,"H","X",0,9,13,"V","V",1,0,0
"266","main",265,"yxuuh cnbc","T1",1,"right",15,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"267","main",266,"yxuuh cnbc","T1",1,"right",17,"J","J",1,0,NA,"NaN","NaN",NA,NA,0
"268","main",267,"yxuuh cnbc","T1T2",1,"right",15,"F","F",1,0,15,"G","D",0,10,0
"269","main",268,"yxuuh cnbc","T1",1,"right",15,"M","N",0,-2,NA,"NaN","NaN",NA,NA,0
"270","main",269,"yxuuh cnbc","T1",1,"right",13,"I","I",1,0,NA,"NaN","NaN",NA,NA,0
"271","main",270,"yxuuh cnbc","T1T2",1,"right",13,"Z","Z",1,0,13,"M","M",1,0,0
"272","main",271,"yxuuh cnbc","T1",1,"left",17,"N","M",0,8,NA,"NaN","NaN",NA,NA,0
"273","main",272,"yxuuh cnbc","T1T2",1,"left",9,"C","H",0,5,9,"T","S",0,11,0
"274","main",273,"yxuuh cnbc","T1T2",1,"left",11,"R","R",1,0,11,"J","J",1,0,0
"275","main",274,"yxuuh cnbc","T1T2",1,"right",15,"E","R",0,1,15,"D","N",0,1,0
"276","main",275,"yxuuh cnbc","T1",1,"right",11,"A","A",1,0,NA,"NaN","NaN",NA,NA,0
"277","main",276,"yxuuh cnbc","T1T2",1,"right",9,"O","D",0,16,9,"E","E",1,0,0
"278","main",277,"yxuuh cnbc","T1T2",1,"right",7,"R","D",0,-1,7,"E","R",0,-6,0
"279","main",278,"yxuuh cnbc","T1T2",1,"left",17,"J","J",1,0,17,"W","M",0,-12,0
"280","main",279,"yxuuh cnbc","T1T2",1,"left",9,"H","C",0,-8,9,"L","H",0,-6,0
"281","main",280,"yxuuh cnbc","T1T2",1,"right",9,"W","Z",0,5,9,"P","M",0,3,0
"282","main",281,"yxuuh cnbc","T1",1,"left",17,"T","Z",0,-12,NA,"NaN","NaN",NA,NA,0
"283","main",282,"yxuuh cnbc","T1T2",1,"left",15,"N","P",0,-9,15,"F","X",0,10,0
"284","main",283,"yxuuh cnbc","T1",1,"left",11,"U","U",1,0,NA,"NaN","NaN",NA,NA,0
"285","main",284,"yxuuh cnbc","T1",1,"right",13,"E","E",1,0,NA,"NaN","NaN",NA,NA,0
"286","main",285,"yxuuh cnbc","T1",1,"right",7,"R","A",0,1,NA,"NaN","NaN",NA,NA,0
"287","main",286,"yxuuh cnbc","T1",1,"right",9,"Y","D",0,1,NA,"NaN","NaN",NA,NA,0
"288","main",287,"yxuuh cnbc","T1T2",1,"right",7,"J","X",0,10,7,"X","P",0,-5,0
"289","main",288,"yxuuh cnbc","T1T2",1,"left",11,"Q","Q",1,0,11,"Z","Z",1,0,0
"290","main",289,"yxuuh cnbc","T1T2",1,"left",7,"C","J",0,-7,7,"N","C",0,12,0
"291","main",290,"yxuuh cnbc","T1T2",1,"left",15,"K","B",0,1,15,"V","X",0,-15,0
"292","main",291,"yxuuh cnbc","T1T2",1,"left",9,"U","C",0,1,9,"X","X",1,0,0
"293","main",292,"yxuuh cnbc","T1T2",1,"left",7,"D","P",0,-5,7,"T","T",1,0,0
"294","main",293,"yxuuh cnbc","T1",1,"left",9,"R","L",0,-2,NA,"NaN","NaN",NA,NA,0
"295","main",294,"yxuuh cnbc","T1T2",1,"right",17,"L","E",0,6,17,"E","L",0,-13,0
"296","main",295,"yxuuh cnbc","T1T2",1,"right",9,"A","N",0,-7,9,"N","A",0,12,0
"297","main",296,"yxuuh cnbc","T1",1,"left",17,"O","D",0,-9,NA,"NaN","NaN",NA,NA,0
"298","main",297,"yxuuh cnbc","T1",1,"right",13,"I","X",0,-13,NA,"NaN","NaN",NA,NA,0
"299","main",298,"yxuuh cnbc","T1",1,"right",9,"K","K",1,0,NA,"NaN","NaN",NA,NA,0
"300","main",299,"yxuuh cnbc","T1",1,"left",11,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"301","main",300,"yxuuh cnbc","T1T2",1,"right",9,"I","X",0,2,9,"H","H",1,0,0
"302","main",301,"yxuuh cnbc","T1",1,"right",15,"H","C",0,5,NA,"NaN","NaN",NA,NA,0
"303","main",302,"yxuuh cnbc","T1T2",1,"left",17,"V","N",0,1,17,"B","B",1,0,0
"304","main",303,"yxuuh cnbc","T1",1,"left",13,"Q","W",0,1,NA,"NaN","NaN",NA,NA,0
"305","main",304,"yxuuh cnbc","T1",1,"left",15,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"306","main",305,"yxuuh cnbc","T1T2",1,"left",13,"H","X",0,6,13,"K","R",0,-5,0
"307","main",306,"yxuuh cnbc","T1",1,"left",13,"W","W",1,0,NA,"NaN","NaN",NA,NA,0
"308","main",307,"yxuuh cnbc","T1T2",1,"right",11,"K","K",1,0,11,"X","M",0,-4,0
"309","main",308,"yxuuh cnbc","T1",1,"right",17,"F","K",0,1,NA,"NaN","NaN",NA,NA,0
"310","main",309,"yxuuh cnbc","T1",1,"left",7,"K","X",0,1,NA,"NaN","NaN",NA,NA,0
"311","main",310,"yxuuh cnbc","T1T2",1,"left",15,"N","M",0,-5,15,"G","K",0,-1,0
"312","main",311,"yxuuh cnbc","T1T2",1,"right",15,"Q","Q",1,0,15,"O","J",0,-1,0
"313","main",312,"yxuuh cnbc","T1T2",1,"right",13,"Z","Z",1,0,13,"W","M",0,-5,0
"314","main",313,"yxuuh cnbc","T1T2",1,"left",13,"C","M",0,-4,13,"H","C",0,11,0
"315","main",314,"yxuuh cnbc","T1",1,"right",7,"G","X",0,-1,NA,"NaN","NaN",NA,NA,0
"316","main",315,"yxuuh cnbc","T1T2",1,"right",11,"N","D",0,-3,11,"D","X",0,-6,0
"317","main",316,"yxuuh cnbc","T1T2",1,"right",7,"G","H",0,9,7,"F","B",0,14,0
"318","main",317,"yxuuh cnbc","T1",1,"right",15,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,0
"319","main",318,"yxuuh cnbc","T1",1,"right",9,"G","M",0,1,NA,"NaN","NaN",NA,NA,0
"320","main",319,"yxuuh cnbc","T1",1,"left",11,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"321","main",320,"yxuuh cnbc","T1",1,"left",15,"X","X",1,0,NA,"NaN","NaN",NA,NA,0
"322","main",321,"yxuuh cnbc","T1",1,"right",17,"Y","X",0,-8,NA,"NaN","NaN",NA,NA,0
"323","main",322,"yxuuh cnbc","T1T2",1,"right",7,"W","Z",0,-1,7,"H","M",0,-6,0
"324","main",323,"yxuuh cnbc","T1",1,"left",7,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"325","main",324,"yxuuh cnbc","T1T2",1,"left",9,"Z","M",0,2,9,"H","Z",0,3,0
"326","main",325,"yxuuh cnbc","T1T2",1,"left",17,"T","X",0,-12,17,"C","V",0,-15,0
"327","main",326,"yxuuh cnbc","T1",1,"right",7,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"328","main",327,"yxuuh cnbc","T1",1,"right",11,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"329","main",328,"yxuuh cnbc","T1T2",1,"left",11,"M","X",0,3,11,"C","M",0,6,0
"330","main",329,"yxuuh cnbc","T1T2",1,"right",15,"Q","R",0,-9,15,"D","Q",0,-10,0
"331","main",330,"yxuuh cnbc","T1",1,"left",9,"S","S",1,0,NA,"NaN","NaN",NA,NA,0
"332","main",331,"yxuuh cnbc","T1T2",1,"right",17,"O","O",1,0,17,"B","P",0,-13,0
"333","main",332,"yxuuh cnbc","T1",1,"right",11,"D","B",0,-1,NA,"NaN","NaN",NA,NA,0
"334","main",333,"yxuuh cnbc","T1T2",1,"right",13,"C","U",0,11,13,"O","C",0,3,0
"335","main",334,"yxuuh cnbc","T1",1,"right",13,"I","X",0,1,NA,"NaN","NaN",NA,NA,0
"336","main",335,"yxuuh cnbc","T1",1,"left",17,"P","P",1,0,NA,"NaN","NaN",NA,NA,0
"337","main",336,"yxuuh cnbc","T1T2",1,"left",7,"Y","Z",0,1,7,"T","T",1,0,0
"338","main",337,"yxuuh cnbc","T1",1,"left",7,"G","C",0,12,NA,"NaN","NaN",NA,NA,0
"339","main",338,"yxuuh cnbc","T1T2",1,"right",17,"A","J",0,1,17,"M","A",0,-4,0
"340","main",339,"yxuuh cnbc","T1",1,"left",15,"Z","P",0,1,NA,"NaN","NaN",NA,NA,0
"341","main",340,"yxuuh cnbc","T1T2",1,"right",7,"P","X",0,4,7,"I","P",0,-4,0
"342","main",341,"yxuuh cnbc","T1",1,"left",17,"D","D",1,0,NA,"NaN","NaN",NA,NA,0
"343","main",342,"yxuuh cnbc","T1T2",1,"left",15,"F","X",0,6,15,"Y","Y",1,0,0
"344","main",343,"yxuuh cnbc","T1T2",1,"left",15,"G","C",0,-8,15,"O","F",0,-3,0
"345","main",344,"yxuuh cnbc","T1T2",1,"right",11,"O","P",0,9,11,"L","X",0,5,0
"346","main",345,"yxuuh cnbc","T1T2",1,"right",17,"M","W",0,-5,17,"W","X",0,5,0
"347","main",346,"yxuuh cnbc","T1T2",1,"left",7,"N","N",1,0,7,"B","P",0,10,0
"348","main",347,"yxuuh cnbc","T1",1,"right",15,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"349","main",348,"yxuuh cnbc","T1T2",1,"right",7,"H","P",0,2,7,"Q","Q",1,0,0
"350","main",349,"yxuuh cnbc","T1",1,"right",11,"X","P",0,-8,NA,"NaN","NaN",NA,NA,0
"351","main",350,"yxuuh cnbc","T1",1,"left",9,"J","D",0,1,NA,"NaN","NaN",NA,NA,0
"352","main",351,"yxuuh cnbc","T1",1,"left",13,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"353","main",352,"yxuuh cnbc","T1",1,"right",15,"G","X",0,-10,NA,"NaN","NaN",NA,NA,0
"354","main",353,"yxuuh cnbc","T1T2",1,"left",11,"K","O",0,11,11,"O","K",0,-7,0
"355","main",354,"yxuuh cnbc","T1T2",1,"left",17,"L","L",1,0,17,"B","R",0,-2,0
"356","main",355,"yxuuh cnbc","T1T2",1,"left",9,"C","S",0,1,9,"J","X",0,1,0
"357","main",356,"yxuuh cnbc","T1T2",1,"right",15,"C","X",0,10,15,"Z","C",0,10,0
"358","main",357,"yxuuh cnbc","T1T2",1,"right",11,"D","D",1,0,11,"R","R",1,0,0
"359","main",358,"yxuuh cnbc","T1",1,"right",13,"A","K",0,1,NA,"NaN","NaN",NA,NA,0
"360","main",359,"yxuuh cnbc","T1",1,"left",11,"E","V",0,1,NA,"NaN","NaN",NA,NA,0
"361","main",360,"yxuuh cnbc","T1T2",1,"left",17,"F","F",1,0,17,"T","H",0,-1,0
"362","main",361,"yxuuh cnbc","T1T2",1,"left",13,"V","X",0,1,13,"Z","I",0,-1,0
"363","main",362,"yxuuh cnbc","T1T2",1,"left",9,"F","S",0,2,9,"G","Z",0,7,0
"364","main",363,"yxuuh cnbc","T1",1,"right",17,"T","G",0,1,NA,"NaN","NaN",NA,NA,0
"365","main",364,"yxuuh cnbc","T1T2",1,"left",11,"B","B",1,0,11,"S","S",1,0,0
"366","main",365,"yxuuh cnbc","T1",1,"right",13,"V","V",1,0,NA,"NaN","NaN",NA,NA,0
"367","main",366,"yxuuh cnbc","T1",1,"left",15,"N","M",0,3,NA,"NaN","NaN",NA,NA,0
"368","main",367,"yxuuh cnbc","T1",1,"right",11,"F","N",0,1,NA,"NaN","NaN",NA,NA,0
"369","main",368,"yxuuh cnbc","T1T2",1,"left",13,"T","R",0,-10,13,"R","S",0,-2,0
"370","main",369,"yxuuh cnbc","T1",1,"right",9,"E","B",0,1,NA,"NaN","NaN",NA,NA,0
"371","main",370,"yxuuh cnbc","T1T2",1,"right",13,"H","Z",0,2,13,"F","H",0,4,0
"372","main",371,"yxuuh cnbc","T1",1,"left",17,"V","V",1,0,NA,"NaN","NaN",NA,NA,0
"373","main",372,"yxuuh cnbc","T1T2",1,"right",13,"A","A",1,0,13,"P","P",1,0,0
"374","main",373,"yxuuh cnbc","T1",1,"right",17,"E","W",0,-16,NA,"NaN","NaN",NA,NA,0
"375","main",374,"yxuuh cnbc","T1T2",1,"right",9,"P","P",1,0,9,"U","U",1,0,0
"376","main",375,"yxuuh cnbc","T1T2",1,"right",15,"O","G",0,-1,15,"V","V",1,0,0
"377","main",376,"yxuuh cnbc","T1",1,"left",9,"Y","Z",0,1,NA,"NaN","NaN",NA,NA,0
"378","main",377,"yxuuh cnbc","T1",1,"left",13,"U","U",1,0,NA,"NaN","NaN",NA,NA,0
"379","main",378,"yxuuh cnbc","T1",1,"left",11,"D","D",1,0,NA,"NaN","NaN",NA,NA,0
"380","main",379,"yxuuh cnbc","T1",1,"right",9,"B","C",0,10,NA,"NaN","NaN",NA,NA,0
"381","main",380,"yxuuh cnbc","T1",1,"right",7,"Q","S",0,1,NA,"NaN","NaN",NA,NA,0
"382","main",381,"yxuuh cnbc","T1",1,"right",7,"U","V",0,2,NA,"NaN","NaN",NA,NA,0
"383","main",382,"yxuuh cnbc","T1T2",1,"right",9,"U","X",0,-1,9,"O","M",0,-5,0
"384","main",383,"yxuuh cnbc","T1",1,"left",7,"V","K",0,18,NA,"NaN","NaN",NA,NA,0
"385","main",384,"yxuuh cnbc","T1T2",1,"right",13,"T","U",0,7,13,"A","M",0,-12,0
"386","main",385,"yxuuh cnbc","T1T2",1,"right",7,"B","B",1,0,7,"H","M",0,5,0
"387","main",386,"yxuuh cnbc","T1T2",1,"right",17,"Y","Q",0,-5,17,"O","P",0,-17,0
"388","main",387,"yxuuh cnbc","T1",1,"left",9,"H","H",1,0,NA,"NaN","NaN",NA,NA,0
"389","main",388,"yxuuh cnbc","T1T2",1,"left",13,"N","M",0,-12,13,"Z","P",0,-3,0
"390","main",389,"yxuuh cnbc","T1",1,"right",13,"Q","F",0,-4,NA,"NaN","NaN",NA,NA,0
"391","main",390,"yxuuh cnbc","T1T2",1,"right",11,"M","M",1,0,11,"A","I",0,1,0
"392","main",391,"yxuuh cnbc","T1",1,"left",7,"B","B",1,0,NA,"NaN","NaN",NA,NA,0
"393","main",392,"yxuuh cnbc","T1",1,"left",17,"B","B",1,0,NA,"NaN","NaN",NA,NA,0
"394","main",393,"yxuuh cnbc","T1",1,"right",7,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"395","main",394,"yxuuh cnbc","T1",1,"right",17,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"396","main",395,"yxuuh cnbc","T1T2",1,"left",7,"J","Q",0,1,7,"L","P",0,1,0
"397","main",396,"yxuuh cnbc","T1T2",1,"left",9,"G","C",0,-1,9,"O","X",0,-8,0
"398","main",397,"yxuuh cnbc","T1",1,"right",9,"G","C",0,8,NA,"NaN","NaN",NA,NA,0
"399","main",398,"yxuuh cnbc","T1T2",1,"right",17,"Z","X",0,-4,17,"I","C",0,-9,0
"400","main",399,"yxuuh cnbc","T1",1,"left",11,"R","X",0,3,NA,"NaN","NaN",NA,NA,0
"401","main",400,"yxuuh cnbc","T1",1,"left",15,"P","Z",0,1,NA,"NaN","NaN",NA,NA,0
"402","main",401,"yxuuh cnbc","T1",1,"right",9,"V","V",1,0,NA,"NaN","NaN",NA,NA,0
"403","main",402,"yxuuh cnbc","T1",1,"left",11,"N","M",0,-1,NA,"NaN","NaN",NA,NA,0
"404","main",403,"yxuuh cnbc","T1",1,"right",15,"E","B",0,-2,NA,"NaN","NaN",NA,NA,0
"405","main",404,"yxuuh cnbc","T1",1,"left",13,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"406","main",405,"yxuuh cnbc","T1T2",1,"left",17,"T","B",0,1,17,"F","F",1,0,0
"407","main",406,"yxuuh cnbc","T1",1,"right",15,"K","K",1,0,NA,"NaN","NaN",NA,NA,0
"408","main",407,"yxuuh cnbc","T1",1,"right",13,"T","W",0,-5,NA,"NaN","NaN",NA,NA,0
"409","main",408,"yxuuh cnbc","T1T2",1,"right",13,"B","B",1,0,13,"A","X",0,1,0
"410","main",409,"yxuuh cnbc","T1",1,"left",9,"K","X",0,11,NA,"NaN","NaN",NA,NA,0
"411","main",410,"yxuuh cnbc","T1",1,"right",17,"Z","O",0,1,NA,"NaN","NaN",NA,NA,0
"412","main",411,"yxuuh cnbc","T1T2",1,"right",11,"N","K",0,-6,11,"Y","D",0,-5,0
"413","main",412,"yxuuh cnbc","T1",1,"left",15,"J","V",0,-14,NA,"NaN","NaN",NA,NA,0
"414","main",413,"yxuuh cnbc","T1T2",1,"right",15,"Q","D",0,-14,15,"D","M",0,-15,0
"415","main",414,"yxuuh cnbc","T1T2",1,"left",11,"Y","W",0,6,11,"W","C",0,2,0
"416","main",415,"yxuuh cnbc","T1",1,"right",11,"N","M",0,-4,NA,"NaN","NaN",NA,NA,0
"417","main",416,"yxuuh cnbc","T1T2",1,"left",11,"P","X",0,-7,11,"A","W",0,10,0
"418","main",417,"yxuuh cnbc","T1",1,"left",7,"G","C",0,9,NA,"NaN","NaN",NA,NA,0
"419","main",418,"yxuuh cnbc","T1T2",1,"left",15,"Y","P",0,3,15,"P","Y",0,8,0
"420","main",419,"yxuuh cnbc","T1",1,"right",7,"A","A",1,0,NA,"NaN","NaN",NA,NA,0
"421","main",420,"yxuuh cnbc","T1T2",1,"left",17,"N","X",0,4,17,"R","Y",0,1,0
"422","main",421,"yxuuh cnbc","T1",1,"left",13,"W","M",0,-4,NA,"NaN","NaN",NA,NA,0
"423","main",422,"yxuuh cnbc","T1T2",1,"right",9,"T","P",0,-5,9,"P","R",0,6,0
"424","main",423,"yxuuh cnbc","T1T2",1,"right",9,"S","V",0,-6,9,"V","X",0,14,0
"425","main",424,"yxuuh cnbc","T1T2",1,"left",7,"P","O",0,4,7,"O","P",0,-2,0
"426","main",425,"yxuuh cnbc","T1T2",1,"left",9,"W","W",1,0,9,"F","C",0,1,0
"427","main",426,"yxuuh cnbc","T1",1,"right",11,"E","H",0,-1,NA,"NaN","NaN",NA,NA,0
"428","main",427,"yxuuh cnbc","T1T2",1,"right",7,"N","J",0,5,7,"I","A",0,5,0
"429","main",428,"yxuuh cnbc","T1T2",1,"right",15,"H","V",0,1,15,"N","W",0,-13,0
"430","main",429,"yxuuh cnbc","T1T2",1,"left",13,"C","P",0,-10,13,"Q","C",0,5,0
"431","main",430,"yxuuh cnbc","T1T2",1,"left",15,"V","W",0,-4,15,"S","U",0,-2,0
"432","main",431,"yxuuh cnbc","T1",1,"left",17,"W","P",0,-16,NA,"NaN","NaN",NA,NA,0
"433","main",432,"yxuuh cnbc","T1",1,"left",7,"H","M",0,9,NA,"NaN","NaN",NA,NA,0
"434","main",433,"yxuuh cnbc","T1T2",1,"left",13,"V","V",1,0,13,"E","W",0,12,0
"435","main",434,"yxuuh cnbc","T1",1,"right",7,"Q","Q",1,0,NA,"NaN","NaN",NA,NA,0
"436","main",435,"yxuuh cnbc","T1T2",1,"right",7,"H","U",0,2,7,"A","V",0,4,0
"437","main",436,"yxuuh cnbc","T1",1,"right",9,"W","W",1,0,NA,"NaN","NaN",NA,NA,0
"438","main",437,"yxuuh cnbc","T1",1,"right",15,"B","M",0,1,NA,"NaN","NaN",NA,NA,0
"439","main",438,"yxuuh cnbc","T1",1,"right",15,"P","R",0,-1,NA,"NaN","NaN",NA,NA,0
"440","main",439,"yxuuh cnbc","T1",1,"left",11,"O","L",0,11,NA,"NaN","NaN",NA,NA,0
"441","main",440,"yxuuh cnbc","T1",1,"right",17,"A","A",1,0,NA,"NaN","NaN",NA,NA,0
"442","main",441,"yxuuh cnbc","T1",1,"right",7,"V","V",1,0,NA,"NaN","NaN",NA,NA,0
"443","main",442,"yxuuh cnbc","T1T2",1,"left",7,"P","E",0,4,7,"E","P",0,10,0
"444","main",443,"yxuuh cnbc","T1T2",1,"left",17,"Y","X",0,-5,17,"E","B",0,-16,0
"445","main",444,"yxuuh cnbc","T1",1,"left",17,"V","V",1,0,NA,"NaN","NaN",NA,NA,0
"446","main",445,"yxuuh cnbc","T1T2",1,"right",13,"N","N",1,0,13,"D","A",0,-1,0
"447","main",446,"yxuuh cnbc","T1",1,"right",13,"H","H",1,0,NA,"NaN","NaN",NA,NA,0
"448","main",447,"yxuuh cnbc","T1T2",1,"left",7,"R","B",0,1,7,"B","J",0,13,0
"449","main",448,"yxuuh cnbc","T1",1,"left",13,"Q","B",0,-12,NA,"NaN","NaN",NA,NA,0
"450","main",449,"yxuuh cnbc","T1",1,"right",13,"R","G",0,1,NA,"NaN","NaN",NA,NA,0
"451","main",450,"yxuuh cnbc","T1T2",1,"right",17,"D","A",0,-6,17,"Q","V",0,-9,0
"452","main",451,"yxuuh cnbc","T1",1,"left",9,"Y","X",0,-4,NA,"NaN","NaN",NA,NA,0
"453","main",452,"yxuuh cnbc","T1T2",1,"right",7,"Z","H",0,-1,7,"R","Z",0,16,0
"454","main",453,"yxuuh cnbc","T1",1,"left",15,"G","G",1,0,NA,"NaN","NaN",NA,NA,0
"455","main",454,"yxuuh cnbc","T1T2",1,"left",17,"H","C",0,6,17,"X","X",1,0,0
"456","main",455,"yxuuh cnbc","T1",1,"right",17,"C","C",1,0,NA,"NaN","NaN",NA,NA,0
"457","main",456,"yxuuh cnbc","T1",1,"left",7,"M","M",1,0,NA,"NaN","NaN",NA,NA,0
"458","main",457,"yxuuh cnbc","T1T2",1,"right",11,"Z","X",0,-5,11,"D","D",1,0,0
"459","main",458,"yxuuh cnbc","T1",1,"right",11,"Q","G",0,13,NA,"NaN","NaN",NA,NA,0
"460","main",459,"yxuuh cnbc","T1T2",1,"right",13,"T","C",0,1,13,"M","M",1,0,0
"461","main",460,"yxuuh cnbc","T1T2",1,"left",15,"U","C",0,7,15,"D","U",0,10,0
"462","main",461,"yxuuh cnbc","T1T2",1,"right",11,"B","J",0,6,11,"N","B",0,-4,0
"463","main",462,"yxuuh cnbc","T1T2",1,"right",17,"B","B",1,0,17,"I","I",1,0,0
"464","main",463,"yxuuh cnbc","T1T2",1,"left",15,"F","F",1,0,15,"O","Y",0,1,0
"465","main",464,"yxuuh cnbc","T1T2",1,"left",11,"Q","Q",1,0,11,"Z","X",0,3,0
"466","main",465,"yxuuh cnbc","T1T2",1,"left",13,"V","M",0,-7,13,"M","P",0,6,0
"467","main",466,"yxuuh cnbc","T1T2",1,"left",9,"M","M",1,0,9,"G","G",1,0,0
"468","main",467,"yxuuh cnbc","T1",1,"left",15,"V","W",0,-1,NA,"NaN","NaN",NA,NA,0
"469","main",468,"yxuuh cnbc","T1",1,"right",9,"R","R",1,0,NA,"NaN","NaN",NA,NA,0
"470","main",469,"yxuuh cnbc","T1",1,"left",13,"O","O",1,0,NA,"NaN","NaN",NA,NA,0
"471","main",470,"yxuuh cnbc","T1",1,"left",11,"I","I",1,0,NA,"NaN","NaN",NA,NA,0
"472","main",471,"yxuuh cnbc","T1T2",1,"left",11,"K","Z",0,-9,11,"Z","K",0,1,0
"473","main",472,"yxuuh cnbc","T1T2",1,"right",15,"V","A",0,-13,15,"Y","Y",1,0,0
"474","main",473,"yxuuh cnbc","T1",1,"left",17,"S","S",1,0,NA,"NaN","NaN",NA,NA,0
"475","main",474,"yxuuh cnbc","T1",1,"right",11,"Y","Y",1,0,NA,"NaN","NaN",NA,NA,0
"476","main",475,"yxuuh cnbc","T1T2",1,"right",9,"J","J",1,0,9,"L","R",0,16,0
"477","main",476,"yxuuh cnbc","T1T2",1,"right",15,"B","A",0,1,15,"G","B",0,-14,0
"478","main",477,"yxuuh cnbc","T1T2",1,"right",9,"Y","Y",1,0,9,"L","T",0,1,0
"479","main",478,"yxuuh cnbc","T1",1,"left",9,"Z","Z",1,0,NA,"NaN","NaN",NA,NA,0
"480","main",479,"yxuuh cnbc","T1T2",1,"left",9,"O","P",0,-2,9,"P","O",0,-7,0
"481","main",480,"yxuuh cnbc","T1",1,"right",15,"A","Y",0,1,NA,"NaN","NaN",NA,NA,0
"482","main",481,"yxuuh cnbc","T1T2",1,"right",17,"T","S",0,-7,17,"V","C",0,-4,0
"483","main",482,"yxuuh cnbc","T1T2",1,"right",13,"M","J",0,-5,13,"J","M",0,-1,0
"484","main",483,"yxuuh cnbc","T1T2",1,"left",17,"A","P",0,-15,17,"P","A",0,-8,0
"485","main",484,"yxuuh cnbc","T1",1,"left",7,"I","V",0,4,NA,"NaN","NaN",NA,NA,0
"486","main",485,"yxuuh cnbc","T1",1,"right",11,"U","J",0,-2,NA,"NaN","NaN",NA,NA,0
"487","main",486,"yxuuh cnbc","T1T2",1,"right",13,"F","X",0,4,13,"O","P",0,-5,0
"488","main",487,"yxuuh cnbc","T1",1,"left",17,"J","J",1,0,NA,"NaN","NaN",NA,NA,0
"489","main",488,"yxuuh cnbc","T1",1,"left",9,"L","W",0,1,NA,"NaN","NaN",NA,NA,0
"490","main",489,"yxuuh cnbc","T1T2",1,"left",15,"U","V",0,2,15,"G","C",0,-8,0
"491","main",490,"yxuuh cnbc","T1T2",1,"right",7,"T","T",1,0,7,"H","H",1,0,0
"492","main",491,"yxuuh cnbc","T1T2",1,"left",13,"Q","T",0,11,13,"T","Q",0,3,0
"493","main",492,"yxuuh cnbc","T1",1,"right",7,"O","V",0,1,NA,"NaN","NaN",NA,NA,0
"494","main",493,"yxuuh cnbc","T1",1,"right",9,"E","X",0,1,NA,"NaN","NaN",NA,NA,0
"495","main",494,"yxuuh cnbc","T1",1,"left",7,"I","K",0,1,NA,"NaN","NaN",NA,NA,0
"496","main",495,"yxuuh cnbc","T1T2",1,"right",17,"T","C",0,1,17,"J","J",1,0,0
"497","main",496,"yxuuh cnbc","T1T2",1,"left",17,"P","P",1,0,17,"J","J",1,0,0
"498","main",497,"yxuuh cnbc","T1",1,"right",15,"D","D",1,0,NA,"NaN","NaN",NA,NA,0
"499","main",498,"yxuuh cnbc","T1T2",1,"left",11,"Z","Z",1,0,11,"P","P",1,0,0
"500","main",499,"yxuuh cnbc","T1",1,"left",11,"I","I",1,0,NA,"NaN","NaN",NA,NA,0
